DEPARTAMENTO,semana,semana_epi,sumpoblacion,anio_epi,n,Mortalidad
AMAZONAS,01/04/2021,1,427041,2021,22,5
AMAZONAS,01/11/2021,2,427041,2021,20,4
AMAZONAS,01/18/2021,3,427041,2021,28,6
AMAZONAS,01/25/2021,4,427041,2021,23,5
AMAZONAS,02/01/2021,5,427041,2021,32,7
AMAZONAS,02/08/2021,6,427041,2021,32,7
AMAZONAS,02/15/2021,7,427041,2021,38,8
AMAZONAS,02/22/2021,8,427041,2021,26,6
AMAZONAS,03/01/2021,9,427041,2021,27,6
AMAZONAS,03/08/2021,10,427041,2021,35,8
AMAZONAS,03/15/2021,11,427041,2021,23,5
AMAZONAS,03/22/2021,12,427041,2021,32,7
AMAZONAS,03/29/2021,13,427041,2021,25,5
AMAZONAS,04/05/2021,14,427041,2021,36,8
AMAZONAS,04/12/2021,15,427041,2021,38,8
AMAZONAS,04/19/2021,16,427041,2021,41,9
AMAZONAS,04/26/2021,17,427041,2021,43,10
AMAZONAS,05/03/2021,18,427041,2021,30,7
AMAZONAS,05/10/2021,19,427041,2021,44,10
AMAZONAS,05/17/2021,20,427041,2021,38,8
AMAZONAS,05/24/2021,21,427041,2021,28,6
AMAZONAS,05/31/2021,22,427041,2021,38,8
AMAZONAS,06/07/2021,23,427041,2021,32,7
AMAZONAS,06/14/2021,24,427041,2021,20,4
AMAZONAS,06/21/2021,25,427041,2021,13,3
AMAZONAS,06/28/2021,26,427041,2021,17,3
AMAZONAS,07/05/2021,27,427041,2021,23,5
AMAZONAS,07/12/2021,28,427041,2021,21,4
AMAZONAS,07/19/2021,29,427041,2021,18,4
AMAZONAS,07/26/2021,30,427041,2021,24,5
AMAZONAS,08/02/2021,31,427041,2021,17,3
AMAZONAS,08/09/2021,32,427041,2021,14,3
AMAZONAS,08/16/2021,33,427041,2021,22,5
AMAZONAS,08/23/2021,34,427041,2021,21,4
AMAZONAS,08/30/2021,35,427041,2021,18,4
AMAZONAS,09/06/2021,36,427041,2021,15,3
AMAZONAS,09/13/2021,37,427041,2021,18,4
AMAZONAS,09/20/2021,38,427041,2021,17,3
AMAZONAS,09/27/2021,39,427041,2021,13,3
AMAZONAS,10/04/2021,40,427041,2021,11,2
AMAZONAS,10/11/2021,41,427041,2021,14,3
AMAZONAS,10/18/2021,42,427041,2021,15,3
AMAZONAS,10/25/2021,43,427041,2021,15,3
AMAZONAS,11/01/2021,44,427041,2021,14,3
AMAZONAS,11/08/2021,45,427041,2021,10,2
AMAZONAS,11/15/2021,46,427041,2021,4,0
ANCASH,01/04/2021,1,1171756,2021,180,15
ANCASH,01/11/2021,2,1171756,2021,216,18
ANCASH,01/18/2021,3,1171756,2021,227,19
ANCASH,01/25/2021,4,1171756,2021,251,21
ANCASH,02/01/2021,5,1171756,2021,239,20
ANCASH,02/08/2021,6,1171756,2021,264,22
ANCASH,02/15/2021,7,1171756,2021,214,18
ANCASH,02/22/2021,8,1171756,2021,216,18
ANCASH,03/01/2021,9,1171756,2021,252,21
ANCASH,03/08/2021,10,1171756,2021,259,22
ANCASH,03/15/2021,11,1171756,2021,299,25
ANCASH,03/22/2021,12,1171756,2021,300,25
ANCASH,03/29/2021,13,1171756,2021,333,28
ANCASH,04/05/2021,14,1171756,2021,367,31
ANCASH,04/12/2021,15,1171756,2021,446,38
ANCASH,04/19/2021,16,1171756,2021,451,38
ANCASH,04/26/2021,17,1171756,2021,385,32
ANCASH,05/03/2021,18,1171756,2021,363,30
ANCASH,05/10/2021,19,1171756,2021,309,26
ANCASH,05/17/2021,20,1171756,2021,300,25
ANCASH,05/24/2021,21,1171756,2021,249,21
ANCASH,05/31/2021,22,1171756,2021,214,18
ANCASH,06/07/2021,23,1171756,2021,199,16
ANCASH,06/14/2021,24,1171756,2021,165,14
ANCASH,06/21/2021,25,1171756,2021,154,13
ANCASH,06/28/2021,26,1171756,2021,151,12
ANCASH,07/05/2021,27,1171756,2021,148,12
ANCASH,07/12/2021,28,1171756,2021,131,11
ANCASH,07/19/2021,29,1171756,2021,146,12
ANCASH,07/26/2021,30,1171756,2021,111,9
ANCASH,08/02/2021,31,1171756,2021,113,9
ANCASH,08/09/2021,32,1171756,2021,136,11
ANCASH,08/16/2021,33,1171756,2021,110,9
ANCASH,08/23/2021,34,1171756,2021,130,11
ANCASH,08/30/2021,35,1171756,2021,114,9
ANCASH,09/06/2021,36,1171756,2021,111,9
ANCASH,09/13/2021,37,1171756,2021,111,9
ANCASH,09/20/2021,38,1171756,2021,103,8
ANCASH,09/27/2021,39,1171756,2021,108,9
ANCASH,10/04/2021,40,1171756,2021,125,10
ANCASH,10/11/2021,41,1171756,2021,109,9
ANCASH,10/18/2021,42,1171756,2021,127,10
ANCASH,10/25/2021,43,1171756,2021,131,11
ANCASH,11/01/2021,44,1171756,2021,124,10
ANCASH,11/08/2021,45,1171756,2021,123,10
ANCASH,11/15/2021,46,1171756,2021,40,3
APURIMAC,01/04/2021,1,466936,2021,77,16
APURIMAC,01/11/2021,2,466936,2021,61,13
APURIMAC,01/18/2021,3,466936,2021,92,19
APURIMAC,01/25/2021,4,466936,2021,72,15
APURIMAC,02/01/2021,5,466936,2021,83,17
APURIMAC,02/08/2021,6,466936,2021,84,17
APURIMAC,02/15/2021,7,466936,2021,70,14
APURIMAC,02/22/2021,8,466936,2021,64,13
APURIMAC,03/01/2021,9,466936,2021,87,18
APURIMAC,03/08/2021,10,466936,2021,69,14
APURIMAC,03/15/2021,11,466936,2021,75,16
APURIMAC,03/22/2021,12,466936,2021,101,21
APURIMAC,03/29/2021,13,466936,2021,86,18
